accession,ncbi_taxid
RS_GCF_003097075.1,2135593
RS_GCF_900580675.1,33069
RS_GCF_900591205.1,33069
RS_GCF_000346755.1,1163065
RS_GCF_003852405.1,2153360
RS_GCF_900583165.1,33069
RS_GCF_902706175.1,2681405
RS_GCF_004682055.1,2293832
RS_GCF_004682045.1,2293833
RS_GCF_002979555.1,1848738
GB_GCA_004000515.1,200451
RS_GCF_013385985.1,2726978
RS_GCF_013386585.1,2726981
RS_GCF_003031675.1,191390
RS_GCF_004519405.1,2518649
RS_GCF_002813445.1,564423
RS_GCF_001579805.1,47878
RS_GCF_013385825.1,117680
RS_GCF_000503215.1,915099
RS_GCF_900111895.1,321846
RS_GCF_001870465.1,169669
RS_GCF_900103345.1,47878
RS_GCF_000612585.1,1463662
RS_GCF_002563895.1,244566
RS_GCF_002007785.1,47878
RS_GCF_007858255.1,76760
RS_GCF_013522705.1,244566
RS_GCF_003612935.1,294
RS_GCF_001439695.1,76761
RS_GCF_900102035.1,359110
RS_GCF_001708445.1,294
RS_GCF_001050345.1,1674920
RS_GCF_002874965.1,2067572
RS_GCF_012935715.1,2730847
RS_GCF_013386765.1,515393
RS_GCF_002204795.1,2013577
RS_GCF_013386825.1,2726976
RS_GCF_001952855.1,1771311
RS_GCF_900105735.1,515393
RS_GCF_012935695.1,2730848
RS_GCF_013403585.1,515393
RS_GCF_009707515.1,1055468
RS_GCF_007858285.1,129817
RS_GCF_012985465.1,2717492
RS_GCF_003626995.1,294
RS_GCF_001983165.1,78544
RS_GCF_007858275.1,219574
RS_GCF_012985665.1,2717484
RS_GCF_000730425.1,294
RS_GCF_900106045.1,46679
RS_GCF_008369295.1,2597350
RS_GCF_002251635.1,75612
RS_GCF_900187645.1,2008983
RS_GCF_902497875.1,294
RS_GCF_902497895.1,294
RS_GCF_001547895.1,1500686
RS_GCF_900105185.1,556534
RS_GCF_013407925.2,380021
RS_GCF_003363755.1,380021
RS_GCF_009861525.1,485751
RS_GCF_003732485.1,380021
RS_GCF_000397205.1,1124983
RS_GCF_000633395.1,1397282
RS_GCF_009908285.1,2697651
RS_GCF_000474765.1,1387231
RS_GCF_003850565.1,658629
RS_GCF_003850345.1,1513890
RS_GCF_900107395.1,1566235
RS_GCF_003945765.1,333
RS_GCF_000931465.1,1611770
RS_GCF_001921865.1,587753
RS_GCF_002018875.1,1960827
RS_GCF_003731765.1,587753
RS_GCF_000364705.1,1316934
RS_GCF_001293465.1,50340
RS_GCF_014268755.1,2745495
RS_GCF_900105475.1,53407
RS_GCF_013385635.1,117681
RS_GCF_900109755.1,46677
RS_GCF_013386115.1,117681
RS_GCF_002814235.1,2056244
RS_GCF_013385425.1,117681
RS_GCF_004011535.1,53407
RS_GCF_013386165.1,117681
RS_GCF_000820515.1,226910
RS_GCF_001269885.1,132476
RS_GCF_008801605.1,86264
RS_GCF_001623525.1,294
RS_GCF_009601685.1,930166
RS_GCF_001269655.1,86265
RS_GCF_900581005.1,33069
RS_GCF_002865505.1,294
RS_GCF_000281895.1,1038922
RS_GCF_003033885.1,2045200
RS_GCF_900113505.1,1566201
RS_GCF_000585995.1,930166
RS_GCF_004786035.1,2505979
RS_GCF_000346775.1,1262454
RS_GCF_013608025.1,494916
RS_GCF_000802155.2,104087
RS_GCF_014268655.1,2745500
RS_GCF_001307275.1,294
RS_GCF_014268745.1,2745496
RS_GCF_001269905.1,47879
RS_GCF_006227205.1,2583807
RS_GCF_014596565.1,527802
RS_GCF_000774145.1,1348058
RS_GCF_007828215.1,2572883
RS_GCF_001269775.1,1699309
RS_GCF_900156465.1,1881017
RS_GCF_001023535.1,587753
RS_GCF_001042985.1,86185
RS_GCF_002269125.1,86185
RS_GCF_001043055.1,1608994
RS_GCF_007858365.1,2600598
RS_GCF_009600315.1,1608996
RS_GCF_000346225.2,1206777
RS_GCF_001294575.1,1788301
RS_GCF_900105835.1,296
RS_GCF_900618535.1,2316085
RS_GCF_002269505.1,296
RS_GCF_001043005.1,122355
RS_GCF_900106095.1,882211
RS_GCF_001043025.1,1608996
RS_GCF_001411475.1,1563157
RS_GCF_000282975.1,1211112
RS_GCF_900475285.1,47884
RS_GCF_000452705.1,1357279
RS_GCF_001466965.1,716918
RS_GCF_001293775.1,81035
RS_GCF_900100365.1,86840
RS_GCF_001401155.1,200454
RS_GCF_002093745.1,158627
RS_GCF_000444135.1,1154758
